property_id,address,city,neighborhood,latitude,longitude,property_type,year_built,sale_date,condition,finished_basement,renovated,near_transit,backs_onto_park,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,garage_spaces,sale_price
AB-00001,620 Maple St,Calgary,Beltline,51.067369,-114.003364,Duplex,1971.0,2025-01-07,Average,False,False,False,False,3,1.5,1589,2703.0,0,500000
AB-00002,2647 River Rd,Calgary,Auburn Bay,51.07156,-114.093026,Townhouse,2014.0,2025-05-15,Average,True,False,False,False,3,1.5,1291,2589.0,2,481000
AB-00003,1239 Maple Ave,St. Albert,Riverside,53.638969,-113.711698,Detached,2006.0,2026-03-19,Average,False,False,False,False,5,2.0,1741,4641.0,2,605000
AB-00004,2903 Aspen Ave,Sherwood Park,Emerald Hills,53.552199,-113.336561,Detached,1969.0,2025-05-16,Good,True,False,False,False,3,2.5,1696,3984.0,3,566000
AB-00005,9392 Prairie Rd,Calgary,Beltline,51.047063,-114.136014,Detached,1987.0,2025-01-13,Excellent,True,False,False,False,3,2.5,2609,4929.0,2,1200000
AB-00006,1589 Maple St,Edmonton,Terwillegar,53.559249,-113.520829,Duplex,1977.0,2025-12-27,Average,False,False,True,False,3,2.5,1481,1994.0,1,448000
AB-00007,8897 Park Rd,Fort McMurray,Beacon Hill,56.726228,-111.426597,Detached,1974.0,2025-03-20,Good,True,True,False,False,4,4.0,1679,7422.0,2,650000
AB-00008,2604 Park Ave,Fort McMurray,Thickwood,56.658112,-111.438768,Semi-Detached,2024.0,2024-12-12,Good,False,False,False,True,2,2.5,1183,3367.0,2,420000
AB-00009,8827 River Ave,Calgary,Aspen Woods,51.040652,-114.08545,Detached,2022.0,2024-11-23,Good,True,False,False,False,3,3.0,2282,5405.0,1,1200000
AB-00010,3781 Maple Rd,Airdrie,Kings Heights,51.328699,-113.998937,Townhouse,2017.0,2024-11-18,Fair,True,True,True,False,3,2.5,1170,1569.0,1,320000
AB-00011,9455 Aspen Blvd,Edmonton,Glenora,53.532622,-113.524261,Condo,1987.0,2025-02-09,Average,False,True,True,False,1,1.0,921,,1,322000
AB-00012,5659 Maple Ave,Calgary,Auburn Bay,51.077295,-114.109665,Condo,1967.0,2024-12-06,Average,False,False,True,False,1,1.5,1076,,1,288000
AB-00013,3972 River Blvd,Airdrie,Reunion,51.274929,-114.022755,Duplex,1961.0,2025-11-02,Excellent,False,False,True,True,4,1.5,1542,3482.0,1,456000
AB-00014,4961 River St,Calgary,Auburn Bay,51.092168,-114.07514,Detached,2022.0,2024-11-30,Fair,True,False,True,False,4,3.5,1411,6175.0,2,653000
AB-00015,3953 Cedar St,Airdrie,Hillcrest,51.304349,-113.945188,Detached,1968.0,2022-11-03,Good,True,False,False,False,6,2.0,2112,4425.0,2,709000
AB-00016,5015 Cedar Rd,Calgary,Seton,50.953009,-114.034914,Condo,2010.0,2024-03-26,Fair,True,False,False,True,1,2.0,1194,,0,348000
AB-00017,9000 Prairie Rd,Calgary,Aspen Woods,50.975135,-114.081785,Detached,1996.0,2024-08-08,Fair,False,False,False,False,4,2.0,1815,5310.0,2,845000
AB-00018,5717 River Rd,Edmonton,Oliver,53.517803,-113.516379,Detached,1996.0,2025-09-24,Good,False,False,True,False,5,3.5,2615,4578.0,2,1117000
AB-00019,7107 Aspen St,Edmonton,Glenora,53.564064,-113.489432,Detached,2016.0,2024-07-01,Average,False,False,False,False,3,4.0,2097,4564.0,2,1005000
